as_of_date,tee_date,course_name,avg_price,occ_percent,market_avg,market_min,market_max
2026-05-06,2026-05-10,blue_heron_golf_course,37.84,24.31,58.38,41.68,88.67
2026-05-06,2026-05-10,pinehurst_links_club,41.38,10.62,58.38,41.68,88.67
2026-05-06,2026-05-10,ironwood_golf_club,51.98,-0.79,58.38,41.68,88.67
2026-05-06,2026-05-10,stonegate_golf_club_central,61.4,-0.79,58.38,41.68,88.67
2026-05-06,2026-05-10,silver_ridge_golf_club_north,66.11,8.34,58.38,41.68,88.67
2026-05-06,2026-05-10,falcon_crest_golf_club,90.85,7.2,58.38,41.68,88.67
2026-05-06,2026-05-11,blue_heron_golf_course,36.66,14.04,58.38,40.5,88.67
2026-05-06,2026-05-11,pinehurst_links_club,40.2,7.2,58.38,40.5,88.67
2026-05-06,2026-05-11,ironwood_golf_club,51.98,-0.79,58.38,40.5,88.67
2026-05-06,2026-05-11,stonegate_golf_club_central,62.58,4.92,58.38,40.5,88.67
2026-05-06,2026-05-11,silver_ridge_golf_club_north,63.76,-0.79,58.38,40.5,88.67
2026-05-06,2026-05-11,falcon_crest_golf_club,90.85,10.62,58.38,40.5,88.67
2026-05-07,2026-05-07,blue_heron_golf_course,40.2,97.32,65.18,44.04,107.35
2026-05-07,2026-05-07,pinehurst_links_club,40.2,106.45,65.18,44.04,107.35
2026-05-07,2026-05-07,stonegate_golf_club_central,56.69,97.32,65.18,44.04,107.35
2026-05-07,2026-05-07,silver_ridge_golf_club_north,61.4,99.6,65.18,44.04,107.35
2026-05-07,2026-05-07,lakewood_golf_club,67.29,101.89,65.18,44.04,107.35
2026-05-07,2026-05-07,ironwood_golf_club,74.36,109.87,65.18,44.04,107.35
2026-05-07,2026-05-07,falcon_crest_golf_club,110.88,106.45,65.18,44.04,107.35
2026-05-07,2026-05-08,pinehurst_links_club,49.62,84.77,65.18,53.48,102.96
2026-05-07,2026-05-08,blue_heron_golf_course,51.98,32.3,65.18,53.48,102.96
2026-05-07,2026-05-08,stonegate_golf_club_central,53.16,30.01,65.18,53.48,102.96
2026-05-07,2026-05-08,ironwood_golf_club,60.22,33.44,65.18,53.48,102.96
2026-05-07,2026-05-08,silver_ridge_golf_club_north,66.11,36.86,65.18,53.48,102.96
2026-05-07,2026-05-08,lakewood_golf_club,69.65,84.77,65.18,53.48,102.96
2026-05-07,2026-05-08,falcon_crest_golf_club,106.17,26.59,65.18,53.48,102.96
2026-05-07,2026-05-09,pinehurst_links_club,35.49,9.48,66.31,39.32,105.16
2026-05-07,2026-05-09,blue_heron_golf_course,46.09,3.78,66.31,39.32,105.16
2026-05-07,2026-05-09,lakewood_golf_club,66.11,36.86,66.31,39.32,105.16
2026-05-07,2026-05-09,ironwood_golf_club,66.11,3.78,66.31,39.32,105.16
2026-05-07,2026-05-09,stonegate_golf_club_central,67.29,17.47,66.31,39.32,105.16
2026-05-07,2026-05-09,silver_ridge_golf_club_north,73.18,14.04,66.31,39.32,105.16
2026-05-07,2026-05-09,falcon_crest_golf_club,108.52,33.44,66.31,39.32,105.16
2026-05-07,2026-05-10,blue_heron_golf_course,37.84,4.92,58.38,41.68,88.67
2026-05-07,2026-05-10,pinehurst_links_club,40.2,19.75,58.38,41.68,88.67
2026-05-07,2026-05-10,ironwood_golf_club,51.98,-0.79,58.38,41.68,88.67
2026-05-07,2026-05-10,stonegate_golf_club_central,61.4,1.49,58.38,41.68,88.67
2026-05-07,2026-05-10,silver_ridge_golf_club_north,64.94,9.48,58.38,41.68,88.67
